sample_name	altitude	body_habitat	body_product	body_site	collection_date	country	depth	description	dna_extracted	elevation	env_biome	env_feature	host_common_name	host_subject_id	host_taxid	latitude	longitude	physical_specimen_remaining	public	qiita_study_id	replicate	sample_type	sex	storage_days	storage_temp	title
353.Male2.D14.80.Fecal.Rep3	0	UBERON:feces	UBERON:feces	UBERON:feces	6/1/08	GAZ:United States of America	0	Male2 day 14 -80C Fecal Rep3	true	1624.1	ENVO:urban biome	ENVO:human-associated habitat	human	M02	9606	40.01	-105.27	false	true	353	Rep3	XXQIITAXX	male	14 days	-80C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
353.Male2.D3.20.Axilla.Rep1a	0	UBERON:skin	UBERON:sebum	UBERON:arm skin	6/1/08	GAZ:United States of America	0	Male2 day 3 20C Axilla Rep1	true	1624.1	ENVO:urban biome	ENVO:human-associated habitat	human	M02	9606	40.01	-105.27	false	true	353	Rep1a	XXQIITAXX	male	3 days	20C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
353.Male2.D3.20.Axilla.Rep1b	0	UBERON:skin	UBERON:sebum	UBERON:arm skin	6/1/08	GAZ:United States of America	0	Male2 day 3 20C Axilla Rep1	true	1624.1	ENVO:urban biome	ENVO:human-associated habitat	human	M02	9606	40.01	-105.27	false	true	353	Rep1b	XXQIITAXX	male	3 days	20C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
353.Male2.D3.20.Axilla.Rep2a	0	UBERON:skin	UBERON:sebum	UBERON:arm skin	6/1/08	GAZ:United States of America	0	Male2 day 3 20C Axilla Rep2	true	1624.1	ENVO:urban biome	ENVO:human-associated habitat	human	M02	9606	40.01	-105.27	false	true	353	Rep2a	XXQIITAXX	male	3 days	20C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
353.Male2.D3.20.Axilla.Rep2b	0	UBERON:skin	UBERON:sebum	UBERON:arm skin	6/1/08	GAZ:United States of America	0	Male2 day 3 20C Axilla Rep2	true	1624.1	ENVO:urban biome	ENVO:human-associated habitat	human	M02	9606	40.01	-105.27	false	true	353	Rep2b	XXQIITAXX	male	3 days	20C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
353.Male2.D3.20.Axilla.Rep3a	0	UBERON:skin	UBERON:sebum	UBERON:arm skin	6/1/08	GAZ:United States of America	0	Male2 day 3 20C Axilla Rep3	true	1624.1	ENVO:urban biome	ENVO:human-associated habitat	human	M02	9606	40.01	-105.27	false	true	353	Rep3a	XXQIITAXX	male	3 days	20C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
353.Male2.D3.20.Axilla.Rep3b	0	UBERON:skin	UBERON:sebum	UBERON:arm skin	6/1/08	GAZ:United States of America	0	Male2 day 3 20C Axilla Rep3	true	1624.1	ENVO:urban biome	ENVO:human-associated habitat	human	M02	9606	40.01	-105.27	false	true	353	Rep3b	XXQIITAXX	male	3 days	20C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
353.Male2.D3.20.Fecal.Rep1a	0	UBERON:feces	UBERON:feces	UBERON:feces	6/1/08	GAZ:United States of America	0	Male2 day 3 20C Fecal Rep1	true	1624.1	ENVO:urban biome	ENVO:human-associated habitat	human	M02	9606	40.01	-105.27	false	true	353	Rep1a	XXQIITAXX	male	3 days	20C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
353.Male2.D3.20.Fecal.Rep1b	0	UBERON:feces	UBERON:feces	UBERON:feces	6/1/08	GAZ:United States of America	0	Male2 day 3 20C Fecal Rep1	true	1624.1	ENVO:urban biome	ENVO:human-associated habitat	human	M02	9606	40.01	-105.27	false	true	353	Rep1b	XXQIITAXX	male	3 days	20C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
353.Male2.D3.20.Fecal.Rep2a	0	UBERON:feces	UBERON:feces	UBERON:feces	6/1/08	GAZ:United States of America	0	Male2 day 3 20C Fecal Rep2	true	1624.1	ENVO:urban biome	ENVO:human-associated habitat	human	M02	9606	40.01	-105.27	false	true	353	Rep2a	XXQIITAXX	male	3 days	20C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
353.Male2.D3.20.Fecal.Rep2b	0	UBERON:feces	UBERON:feces	UBERON:feces	6/1/08	GAZ:United States of America	0	Male2 day 3 20C Fecal Rep2	true	1624.1	ENVO:urban biome	ENVO:human-associated habitat	human	M02	9606	40.01	-105.27	false	true	353	Rep2b	XXQIITAXX	male	3 days	20C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
353.Male2.D3.20.Fecal.Rep3a	0	UBERON:feces	UBERON:feces	UBERON:feces	6/1/08	GAZ:United States of America	0	Male2 day 3 20C Fecal Rep3	true	1624.1	ENVO:urban biome	ENVO:human-associated habitat	human	M02	9606	40.01	-105.27	false	true	353	Rep3a	XXQIITAXX	male	3 days	20C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
353.Male2.D3.20.Fecal.Rep3b	0	UBERON:feces	UBERON:feces	UBERON:feces	6/1/08	GAZ:United States of America	0	Male2 day 3 20C Fecal Rep3	true	1624.1	ENVO:urban biome	ENVO:human-associated habitat	human	M02	9606	40.01	-105.27	false	true	353	Rep3b	XXQIITAXX	male	3 days	20C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
353.Male2.D3.4.Axilla.Rep1	0	UBERON:skin	UBERON:sebum	UBERON:arm skin	6/1/08	GAZ:United States of America	0	Male2 day 3 4C Axilla Rep1	true	1624.1	ENVO:urban biome	ENVO:human-associated habitat	human	M02	9606	40.01	-105.27	false	true	353	Rep1	XXQIITAXX	male	3 days	4C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
353.Male2.D3.4.Axilla.Rep2	0	UBERON:skin	UBERON:sebum	UBERON:arm skin	6/1/08	GAZ:United States of America	0	Male2 day 3 4C Axilla Rep2	true	1624.1	ENVO:urban biome	ENVO:human-associated habitat	human	M02	9606	40.01	-105.27	false	true	353	Rep2	XXQIITAXX	male	3 days	4C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
353.Male2.D3.4.Axilla.Rep3	0	UBERON:skin	UBERON:sebum	UBERON:arm skin	6/1/08	GAZ:United States of America	0	Male2 day 3 4C Axilla Rep3	true	1624.1	ENVO:urban biome	ENVO:human-associated habitat	human	M02	9606	40.01	-105.27	false	true	353	Rep3	XXQIITAXX	male	3 days	4C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
353.Male2.D3.4.Fecal.Rep1	0	UBERON:feces	UBERON:feces	UBERON:feces	6/1/08	GAZ:United States of America	0	Male2 day 3 4C Fecal Rep1	true	1624.1	ENVO:urban biome	ENVO:human-associated habitat	human	M02	9606	40.01	-105.27	false	true	353	Rep1	XXQIITAXX	male	3 days	4C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
353.Male2.D3.4.Fecal.Rep2	0	UBERON:feces	UBERON:feces	UBERON:feces	6/1/08	GAZ:United States of America	0	Male2 day 3 4C Fecal Rep2	true	1624.1	ENVO:urban biome	ENVO:human-associated habitat	human	M02	9606	40.01	-105.27	false	true	353	Rep2	XXQIITAXX	male	3 days	4C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
353.Male2.D3.4.Fecal.Rep3	0	UBERON:feces	UBERON:feces	UBERON:feces	6/1/08	GAZ:United States of America	0	Male2 day 3 4C Fecal Rep3	true	1624.1	ENVO:urban biome	ENVO:human-associated habitat	human	M02	9606	40.01	-105.27	false	true	353	Rep3	XXQIITAXX	male	3 days	4C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
353.Male2.D3.80.Axilla.Rep1	0	UBERON:skin	UBERON:sebum	UBERON:arm skin	6/1/08	GAZ:United States of America	0	Male2 day 3 -80C Axilla Rep1	true	1624.1	ENVO:urban biome	ENVO:human-associated habitat	human	M02	9606	40.01	-105.27	false	true	353	Rep1	XXQIITAXX	male	3 days	-80C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
353.Male2.D3.80.Axilla.Rep2	0	UBERON:skin	UBERON:sebum	UBERON:arm skin	6/1/08	GAZ:United States of America	0	Male2 day 3 -80C Axilla Rep2	true	1624.1	ENVO:urban biome	ENVO:human-associated habitat	human	M02	9606	40.01	-105.27	false	true	353	Rep2	XXQIITAXX	male	3 days	-80C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
353.Male2.D3.80.Axilla.Rep3	0	UBERON:skin	UBERON:sebum	UBERON:arm skin	6/1/08	GAZ:United States of America	0	Male2 day 3 -80C Axilla Rep3	true	1624.1	ENVO:urban biome	ENVO:human-associated habitat	human	M02	9606	40.01	-105.27	false	true	353	Rep3	XXQIITAXX	male	3 days	-80C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
353.Male2.D3.80.Fecal.Rep1	0	UBERON:feces	UBERON:feces	UBERON:feces	6/1/08	GAZ:United States of America	0	Male2 day 3 -80C Fecal Rep1	true	1624.1	ENVO:urban biome	ENVO:human-associated habitat	human	M02	9606	40.01	-105.27	false	true	353	Rep1	XXQIITAXX	male	14 days	-80C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
353.Male2.D3.80.Fecal.Rep2	0	UBERON:feces	UBERON:feces	UBERON:feces	6/1/08	GAZ:United States of America	0	Male2 day 3 -80C Fecal Rep2	true	1624.1	ENVO:urban biome	ENVO:human-associated habitat	human	M02	9606	40.01	-105.27	false	true	353	Rep2	XXQIITAXX	male	3 days	-80C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
353.Male2.D3.80.Fecal.Rep3	0	UBERON:feces	UBERON:feces	UBERON:feces	6/1/08	GAZ:United States of America	0	Male2 day 3 -80C Fecal Rep3	true	1624.1	ENVO:urban biome	ENVO:human-associated habitat	human	M02	9606	40.01	-105.27	false	true	353	Rep3	XXQIITAXX	male	3 days	-80C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
353.PS.D14.20.Soil.Rep1a	0				6/1/08	GAZ:United States of America	0-0.05	PS day 14 20C Soil Rep1	true	1624.1	ENVO:montane shrubland biome	ENVO:soil		40		40.01	-105.27	false	true	353	Rep1a	XXQIITAXX		14 days	20C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
353.PS.D14.20.Soil.Rep1b	0				6/1/08	GAZ:United States of America	0-0.05	PS day 14 20C Soil Rep1	true	1624.1	ENVO:montane shrubland biome	ENVO:soil		46		40.01	-105.27	false	true	353	Rep1b	XXQIITAXX		14 days	20C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
353.PS.D14.20.Soil.Rep2a	0				6/1/08	GAZ:United States of America	0-0.05	PS day 14 20C Soil Rep2	true	1624.1	ENVO:montane shrubland biome	ENVO:soil		17		40.01	-105.27	false	true	353	Rep2a	XXQIITAXX		14 days	20C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
353.PS.D14.20.Soil.Rep2b	0				6/1/08	GAZ:United States of America	0-0.05	PS day 14 20C Soil Rep2	true	1624.1	ENVO:montane shrubland biome	ENVO:soil		23		40.01	-105.27	false	true	353	Rep2b	XXQIITAXX		14 days	20C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
353.PS.D14.20.Soil.Rep3a	0				6/1/08	GAZ:United States of America	0-0.05	PS day 14 20C Soil Rep3	true	1624.1	ENVO:montane shrubland biome	ENVO:soil		18		40.01	-105.27	false	true	353	Rep3a	XXQIITAXX		14 days	20C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
353.PS.D14.20.Soil.Rep3b	0				6/1/08	GAZ:United States of America	0-0.05	PS day 14 20C Soil Rep3	true	1624.1	ENVO:montane shrubland biome	ENVO:soil		24		40.01	-105.27	false	true	353	Rep3b	XXQIITAXX		14 days	20C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
353.PS.D14.4.Soil.Rep1	0				6/1/08	GAZ:United States of America	0-0.05	PS day 14 4C Soil Rep1	true	1624.1	ENVO:montane shrubland biome	ENVO:soil		43		40.01	-105.27	false	true	353	Rep1	XXQIITAXX		14 days	4C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
353.PS.D14.4.Soil.Rep2	0				6/1/08	GAZ:United States of America	0-0.05	PS day 14 4C Soil Rep2	true	1624.1	ENVO:montane shrubland biome	ENVO:soil		20		40.01	-105.27	false	true	353	Rep2	XXQIITAXX		14 days	4C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
353.PS.D14.4.Soil.Rep3	0				6/1/08	GAZ:United States of America	0-0.05	PS day 14 4C Soil Rep3	true	1624.1	ENVO:montane shrubland biome	ENVO:soil		21		40.01	-105.27	false	true	353	Rep3	XXQIITAXX		14 days	4C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
353.PS.D14.80.Soil.Rep1	0				6/1/08	GAZ:United States of America	0-0.05	PS day 14 -80C Soil Rep1	true	1624.1	ENVO:montane shrubland biome	ENVO:soil		37		40.01	-105.27	false	true	353	Rep1	XXQIITAXX		14 days	-80C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
353.PS.D14.80.Soil.Rep2	0				6/1/08	GAZ:United States of America	0-0.05	PS day 14 -80C Soil Rep2	true	1624.1	ENVO:montane shrubland biome	ENVO:soil		14		40.01	-105.27	false	true	353	Rep2	XXQIITAXX		14 days	-80C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
353.PS.D14.80.Soil.Rep3	0				6/1/08	GAZ:United States of America	0-0.05	PS day 14 -80C Soil Rep3	true	1624.1	ENVO:montane shrubland biome	ENVO:soil		15		40.01	-105.27	false	true	353	Rep3	XXQIITAXX		14 days	-80C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
353.PS.D3.20.Soil.Rep1a	0				6/1/08	GAZ:United States of America	0-0.05	PS day 3 20C Soil Rep1	true	1624.1	ENVO:montane shrubland biome	ENVO:soil		4		40.01	-105.27	false	true	353	Rep1a	XXQIITAXX		3 days	20C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
353.PS.D3.20.Soil.Rep1b	0				6/1/08	GAZ:United States of America	0-0.05	PS day 3 20C Soil Rep1	true	1624.1	ENVO:montane shrubland biome	ENVO:soil		10		40.01	-105.27	false	true	353	Rep1b	XXQIITAXX		3 days	20C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
353.PS.D3.20.Soil.Rep2a	0				6/1/08	GAZ:United States of America	0-0.05	PS day 3 20C Soil Rep2	true	1624.1	ENVO:montane shrubland biome	ENVO:soil		5		40.01	-105.27	false	true	353	Rep2a	XXQIITAXX		3 days	20C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
353.PS.D3.20.Soil.Rep2b	0				6/1/08	GAZ:United States of America	0-0.05	PS day 3 20C Soil Rep2	true	1624.1	ENVO:montane shrubland biome	ENVO:soil		11		40.01	-105.27	false	true	353	Rep2b	XXQIITAXX		3 days	20C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
353.PS.D3.20.Soil.Rep3a	0				6/1/08	GAZ:United States of America	0-0.05	PS day 3 20C Soil Rep3	true	1624.1	ENVO:montane shrubland biome	ENVO:soil		6		40.01	-105.27	false	true	353	Rep3a	XXQIITAXX		3 days	20C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
353.PS.D3.20.Soil.Rep3b	0				6/1/08	GAZ:United States of America	0-0.05	PS day 3 20C Soil Rep3	true	1624.1	ENVO:montane shrubland biome	ENVO:soil		12		40.01	-105.27	false	true	353	Rep3b	XXQIITAXX		3 days	20C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
353.PS.D3.4.Soil.Rep1	0				6/1/08	GAZ:United States of America	0-0.05	PS day 3 4C Soil Rep1	true	1624.1	ENVO:montane shrubland biome	ENVO:soil		7		40.01	-105.27	false	true	353	Rep1	XXQIITAXX		3 days	4C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
353.PS.D3.4.Soil.Rep2	0				6/1/08	GAZ:United States of America	0-0.05	PS day 3 4C Soil Rep2	true	1624.1	ENVO:montane shrubland biome	ENVO:soil		8		40.01	-105.27	false	true	353	Rep2	XXQIITAXX		3 days	4C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
353.PS.D3.4.Soil.Rep3	0				6/1/08	GAZ:United States of America	0-0.05	PS day 3 4C Soil Rep3	true	1624.1	ENVO:montane shrubland biome	ENVO:soil		9		40.01	-105.27	false	true	353	Rep3	XXQIITAXX		3 days	4C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
353.PS.D3.80.Soil.Rep1	0				6/1/08	GAZ:United States of America	0-0.05	PS day 3 -80C Soil Rep1	true	1624.1	ENVO:montane shrubland biome	ENVO:soil		1		40.01	-105.27	false	true	353	Rep1	XXQIITAXX		3 days	-80C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
353.PS.D3.80.Soil.Rep2	0				6/1/08	GAZ:United States of America	0-0.05	PS day 3 -80C Soil Rep2	true	1624.1	ENVO:montane shrubland biome	ENVO:soil		2		40.01	-105.27	false	true	353	Rep2	XXQIITAXX		3 days	-80C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
353.PS.D3.80.Soil.Rep3	0				6/1/08	GAZ:United States of America	0-0.05	PS day 3 -80C Soil Rep3	true	1624.1	ENVO:montane shrubland biome	ENVO:soil		3		40.01	-105.27	false	true	353	Rep3	XXQIITAXX		3 days	-80C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
