sample_name	altitude	anonymized_name	carb_nitro_ratio	carbon_percent	carbon_substrate	clay_particle_class	collection_date	country	depth	description	dna_extracted	elevation	env_biome	env_feature	host_subject_id	latitude	longitude	nitrogen_percent	ph	physical_specimen_remaining	project_name	public	qiita_study_id	sample_type	sand_particle_class	silt_particle_class	title
213.KE32	0	KE32			citric acid	4	0	GAZ:United States of America	5	soil metagenome	true	280	ENVO:Temperate broadleaf and mixed forest biome	ENVO:forest soil	KE32	45.2	-93.2			false	eilers_soils	true	213	XXQIITAXX	86	10	KE32
213.KE33	0	KE33	14.3	0.89	none	3.1	0	GAZ:United States of America	5	soil metagenome	true	280	ENVO:Temperate coniferous forest biome	ENVO:forest soil	KE33	45.2	-93.2	0.06	5.8	false	eilers_soils	true	213	XXQIITAXX	90	6.9	KE33
213.KE34	0	KE34	14.3	0.89	none	3.1	0	GAZ:United States of America	5	soil metagenome	true	280	ENVO:Temperate coniferous forest biome	ENVO:forest soil	KE34	45.2	-93.2	0.06	5.8	false	eilers_soils	true	213	XXQIITAXX	90	6.9	KE34
213.KE35	0	KE35	14.3	0.89	none	3.1	0	GAZ:United States of America	5	soil metagenome	true	280	ENVO:Temperate coniferous forest biome	ENVO:forest soil	KE35	45.2	-93.2	0.06	5.8	false	eilers_soils	true	213	XXQIITAXX	90	6.9	KE35
213.KE36	0	KE36	14.3	0.89	none	3.1	0	GAZ:United States of America	5	soil metagenome	true	280	ENVO:Temperate coniferous forest biome	ENVO:forest soil	KE36	45.2	-93.2	0.06	5.8	false	eilers_soils	true	213	XXQIITAXX	90	6.9	KE36
213.KE37	0	KE37			dextrose	3.1	0	GAZ:United States of America	5	soil metagenome	true	280	ENVO:Temperate coniferous forest biome	ENVO:forest soil	KE37	45.2	-93.2			false	eilers_soils	true	213	XXQIITAXX	90	6.9	KE37
213.KE38	0	KE38			dextrose	3.1	0	GAZ:United States of America	5	soil metagenome	true	280	ENVO:Temperate coniferous forest biome	ENVO:forest soil	KE38	45.2	-93.2			false	eilers_soils	true	213	XXQIITAXX	90	6.9	KE38
213.KE39	0	KE39			dextrose	3.1	0	GAZ:United States of America	5	soil metagenome	true	280	ENVO:Temperate coniferous forest biome	ENVO:forest soil	KE39	45.2	-93.2			false	eilers_soils	true	213	XXQIITAXX	90	6.9	KE39
213.KE4	0	KE4	12.8	2.77	none	3.5	0	GAZ:United States of America	5	soil metagenome	true	280	ENVO:Temperate grasslands	ENVO:grassland soil	KE4	45.2	-93.2	0.22	5.6	false	eilers_soils	true	213	XXQIITAXX	90	6.5	KE4
213.KE40	0	KE40			dextrose	3.1	0	GAZ:United States of America	5	soil metagenome	true	280	ENVO:Temperate coniferous forest biome	ENVO:forest soil	KE40	45.2	-93.2			false	eilers_soils	true	213	XXQIITAXX	90	6.9	KE40
213.KE41	0	KE41			glycine	3.1	0	GAZ:United States of America	5	soil metagenome	true	280	ENVO:Temperate coniferous forest biome	ENVO:forest soil	KE41	45.2	-93.2			false	eilers_soils	true	213	XXQIITAXX	90	6.9	KE41
213.KE42	0	KE42			glycine	3.1	0	GAZ:United States of America	5	soil metagenome	true	280	ENVO:Temperate coniferous forest biome	ENVO:forest soil	KE42	45.2	-93.2			false	eilers_soils	true	213	XXQIITAXX	90	6.9	KE42
213.KE43	0	KE43			glycine	3.1	0	GAZ:United States of America	5	soil metagenome	true	280	ENVO:Temperate coniferous forest biome	ENVO:forest soil	KE43	45.2	-93.2			false	eilers_soils	true	213	XXQIITAXX	90	6.9	KE43
213.KE44	0	KE44			glycine	3.1	0	GAZ:United States of America	5	soil metagenome	true	280	ENVO:Temperate coniferous forest biome	ENVO:forest soil	KE44	45.2	-93.2			false	eilers_soils	true	213	XXQIITAXX	90	6.9	KE44
213.KE45	0	KE45			citric acid	3.1	0	GAZ:United States of America	5	soil metagenome	true	280	ENVO:Temperate coniferous forest biome	ENVO:forest soil	KE45	45.2	-93.2			false	eilers_soils	true	213	XXQIITAXX	90	6.9	KE45
213.KE46	0	KE46			citric acid	3.1	0	GAZ:United States of America	5	soil metagenome	true	280	ENVO:Temperate coniferous forest biome	ENVO:forest soil	KE46	45.2	-93.2			false	eilers_soils	true	213	XXQIITAXX	90	6.9	KE46
213.KE47	0	KE47			citric acid	3.1	0	GAZ:United States of America	5	soil metagenome	true	280	ENVO:Temperate coniferous forest biome	ENVO:forest soil	KE47	45.2	-93.2			false	eilers_soils	true	213	XXQIITAXX	90	6.9	KE47
213.KE48	0	KE48			citric acid	3.1	0	GAZ:United States of America	5	soil metagenome	true	280	ENVO:Temperate coniferous forest biome	ENVO:forest soil	KE48	45.2	-93.2			false	eilers_soils	true	213	XXQIITAXX	90	6.9	KE48
213.KE5	0	KE5			dextrose	3.5	0	GAZ:United States of America	5	soil metagenome	true	280	ENVO:Temperate grasslands	ENVO:grassland soil	KE5	45.2	-93.2			false	eilers_soils	true	213	XXQIITAXX	90	6.5	KE5
213.KE6	0	KE6			dextrose	3.5	0	GAZ:United States of America	5	soil metagenome	true	280	ENVO:Temperate grasslands	ENVO:grassland soil	KE6	45.2	-93.2			false	eilers_soils	true	213	XXQIITAXX	90	6.5	KE6
213.KE7	0	KE7			dextrose	3.5	0	GAZ:United States of America	5	soil metagenome	true	280	ENVO:Temperate grasslands	ENVO:grassland soil	KE7	45.2	-93.2			false	eilers_soils	true	213	XXQIITAXX	90	6.5	KE7
213.KE8	0	KE8			dextrose	3.5	0	GAZ:United States of America	5	soil metagenome	true	280	ENVO:Temperate grasslands	ENVO:grassland soil	KE8	45.2	-93.2			false	eilers_soils	true	213	XXQIITAXX	90	6.5	KE8
213.KE9	0	KE9			glycine	3.5	0	GAZ:United States of America	5	soil metagenome	true	280	ENVO:Temperate grasslands	ENVO:grassland soil	KE9	45.2	-93.2			false	eilers_soils	true	213	XXQIITAXX	90	6.5	KE9
