sample_name	age	age_units	body_habitat	body_product	body_site	collection_timestamp	description	dna_extracted	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	experiment_center	geo_loc_name	host_common_name	host_life_stage	host_scientific_name	host_subject_id	host_taxid	latitude	longitude	physical_samp_avail_now	physical_specimen_location	physical_specimen_remaining	qiita_study_id	sample_center	sample_type	scientific_name	sex	taxon_id	title
11653.ROST0434	613	days	UBERON:feces	UBERON:feces	UBERON:feces	2010-04-16 09:00	Control.Juvenile08	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	juvenile	Macaca mulatta	RO.M08137	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.SLST0160	7	days	UBERON:feces	UBERON:feces	UBERON:feces	2009-03-10 09:00	2008.Infant01	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	neonate	Macaca mulatta	SL.M09019	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.SLST0577	562	days	UBERON:feces	UBERON:feces	UBERON:feces	2010-09-16 09:00	2008.Juvenile01	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	juvenile	Macaca mulatta	SL.M09019	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.SMST0165	8	days	UBERON:feces	UBERON:feces	UBERON:feces	2009-03-19 09:00	2008.Infant02	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	neonate	Macaca mulatta	SM.M09021	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.SMST0578	554	days	UBERON:feces	UBERON:feces	UBERON:feces	2010-09-16 09:00	2008.Juvenile02	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	juvenile	Macaca mulatta	SM.M09021	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.SPST0579	545	days	UBERON:feces	UBERON:feces	UBERON:feces	2010-09-17 09:00	2008.Juvenile03	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	juvenile	Macaca mulatta	SP.M09026	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.SRST0175	7	days	UBERON:feces	UBERON:feces	UBERON:feces	2009-03-30 09:00	2008.Infant03	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	neonate	Macaca mulatta	SR.M09027	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.SRST0580	543	days	UBERON:feces	UBERON:feces	UBERON:feces	2010-09-17 09:00	2008.Juvenile04	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	juvenile	Macaca mulatta	SR.M09027	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.SXST0194	8	days	UBERON:feces	UBERON:feces	UBERON:feces	2009-04-27 09:00	Control.Infant08	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	neonate	Macaca mulatta	SX.M09042	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.SXST0668	578	days	UBERON:feces	UBERON:feces	UBERON:feces	2010-11-18 09:00	Control.Juvenile09	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	juvenile	Macaca mulatta	SX.M09042	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.TGST0207	7	days	UBERON:feces	UBERON:feces	UBERON:feces	2009-05-13 09:00	Control.Infant09	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	neonate	Macaca mulatta	TG.M09056	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.TGST0674	561	days	UBERON:feces	UBERON:feces	UBERON:feces	2010-11-18 09:00	Control.Juvenile10	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	juvenile	Macaca mulatta	TG.M09056	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.THST0670	559	days	UBERON:feces	UBERON:feces	UBERON:feces	2010-11-19 09:00	Control.Juvenile11	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	juvenile	Macaca mulatta	TH.M09051	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.TKST0222	7	days	UBERON:feces	UBERON:feces	UBERON:feces	2009-05-27 09:00	Control.Infant10	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	neonate	Macaca mulatta	TK.M09060	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.TKST0671	548	days	UBERON:feces	UBERON:feces	UBERON:feces	2010-11-19 09:00	Control.Juvenile12	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	juvenile	Macaca mulatta	TK.M09060	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
