sample_name	anonymized_name	collection_timestamp	description	dna_extracted	elevation	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	geo_loc_name	host_subject_id	latitude	longitude	physical_specimen_location	physical_specimen_remaining	qiita_study_id	sample_type	scientific_name	taxon_id	temp	title
11760.b.H2971.A	H2971.A	2015-05-26 18:04	School H, classroom 297, desk, Pre-cleaning	TRUE	105.158	Free-living	Non-saline	Surface (non-saline)	Rural biome	anthropogenic habitat	anthropogenic environmental material	built environment	USA:CT	H	restricted access	restricted access	YALE PECCIA LAB	TRUE	11760	desk surface	indoor metagenome	1256227	23.237	The Reestablishment of Microbial Communities after Surface Cleaning in Schools
11760.b.H2973.A	H2973.A	2015-05-27 16:20	School H, classroom 297, desk, 1 day post-cleaning	TRUE	105.158	Free-living	Non-saline	Surface (non-saline)	Rural biome	anthropogenic habitat	anthropogenic environmental material	built environment	USA:CT	H	restricted access	restricted access	YALE PECCIA LAB	TRUE	11760	desk surface	indoor metagenome	1256227	20.035	The Reestablishment of Microbial Communities after Surface Cleaning in Schools
11760.b.H2976.A	H2976.A	2015-06-15 16:33	School H, classroom 297, desk, 21 days post-cleaning	TRUE	105.158	Free-living	Non-saline	Surface (non-saline)	Rural biome	anthropogenic habitat	anthropogenic environmental material	built environment	USA:CT	H	restricted access	restricted access	YALE PECCIA LAB	TRUE	11760	desk surface	indoor metagenome	1256227	20.606	The Reestablishment of Microbial Communities after Surface Cleaning in Schools
11760.b.O1101.A	O1101.A	2015-05-26 16:16	School O, classroom 110, desk, Pre-cleaning	TRUE	72.045	Free-living	Non-saline	Surface (non-saline)	Rural biome	anthropogenic habitat	anthropogenic environmental material	built environment	USA:CT	O	restricted access	restricted access	YALE PECCIA LAB	TRUE	11760	desk surface	indoor metagenome	1256227	21.728	The Reestablishment of Microbial Communities after Surface Cleaning in Schools
11760.b.O1103.A	O1103.A	2015-05-27 15:10	School O, classroom 110, desk, 1 day post-cleaning	TRUE	72.045	Free-living	Non-saline	Surface (non-saline)	Rural biome	anthropogenic habitat	anthropogenic environmental material	built environment	USA:CT	O	restricted access	restricted access	YALE PECCIA LAB	TRUE	11760	desk surface	indoor metagenome	1256227	21.776	The Reestablishment of Microbial Communities after Surface Cleaning in Schools
11760.b.O1106.A	O1106.A	2015-06-15 15:16	School O, classroom 110, desk, 21 days post-cleaning	TRUE	72.045	Free-living	Non-saline	Surface (non-saline)	Rural biome	anthropogenic habitat	anthropogenic environmental material	built environment	USA:CT	O	restricted access	restricted access	YALE PECCIA LAB	TRUE	11760	desk surface	indoor metagenome	1256227	22.397	The Reestablishment of Microbial Communities after Surface Cleaning in Schools
11760.b.O7001.A	O7001.A	2015-05-26 15:26	School O, classroom 7, desk, Pre-cleaning	TRUE	72.045	Free-living	Non-saline	Surface (non-saline)	Rural biome	anthropogenic habitat	anthropogenic environmental material	built environment	USA:CT	O	restricted access	restricted access	YALE PECCIA LAB	TRUE	11760	desk surface	indoor metagenome	1256227	21.823	The Reestablishment of Microbial Communities after Surface Cleaning in Schools
11760.b.O7003.A	O7003.A	2015-05-27 14:45	School O, classroom 7, desk, 1 day post-cleaning	TRUE	72.045	Free-living	Non-saline	Surface (non-saline)	Rural biome	anthropogenic habitat	anthropogenic environmental material	built environment	USA:CT	O	restricted access	restricted access	YALE PECCIA LAB	TRUE	11760	desk surface	indoor metagenome	1256227	22.039	The Reestablishment of Microbial Communities after Surface Cleaning in Schools
11760.b.O7006.A	O7006.A	2015-06-15 14:52	School O, classroom 7, desk, 21 days post-cleaning	TRUE	72.045	Free-living	Non-saline	Surface (non-saline)	Rural biome	anthropogenic habitat	anthropogenic environmental material	built environment	USA:CT	O	restricted access	restricted access	YALE PECCIA LAB	TRUE	11760	desk surface	indoor metagenome	1256227	21.370	The Reestablishment of Microbial Communities after Surface Cleaning in Schools
11760.b.O9701.A	O9701.A	2015-05-26 15:59	School O, classroom 97, desk, Pre-cleaning	TRUE	72.045	Free-living	Non-saline	Surface (non-saline)	Rural biome	anthropogenic habitat	anthropogenic environmental material	built environment	USA:CT	O	restricted access	restricted access	YALE PECCIA LAB	TRUE	11760	desk surface	indoor metagenome	1256227	22.661	The Reestablishment of Microbial Communities after Surface Cleaning in Schools
